Description,Brand,Price,Sales
"3000-20 color : black features : -waterproof , crush proof and airtight.-cleverly made drybox designed to withstand submersions up to 100 ft.-provides protection for gps units , cellular phones , gaming devices , satellite pocket mail units , handheld pcs and more . dimensions : -interior dimensions : 1.23 '' h x 7.64 '' w x 3.72 '' d.-exterior dimensions : 2.01 '' h x 8.81 '' w x 5.18 '' d. warranty : -one year warranty .",otterbox,19.99,0.5937743209091852
"carry your cell phone covered with corvette class ! this great accessory features : * textured fabric cell phone and media device holder * flexible classic corvette logo * capacity of approximately 2 '' by 3.75 '' by 5 '' . fits most razor ( razr ) sized phones , and other slim phones . * sturdy metal clip and a vertical , magnetic secured flap * second pocket for accessories size : n/acorvette central # : 116529",corvette central,14.95,0.1383952621928617
please note that product images are enlarged to show detail . the actual item is 0.484 - ( approx . 1/2 in . ) inches long and 0.577 - ( approx . 5/8 in . ) inches wide . the wolf charm by rembrandt charms is hand-polished with a high polish finish . the charm shape is 3d . every rembrandt charm comes with a heavy-duty jump ring that can be twisted open and easily attached by you . all rembrandt charms are guaranteed for life .,rembrandt charms,32.5,0.31437657076218817
please note that product images are enlarged to show detail . the actual item is 0.587 - ( approx . 5/8 in . ) inches long and 0.587 - ( approx . 5/8 in . ) inches wide . the mastiff charm by rembrandt charms is hand-polished with a high polish finish . the charm shape is 3d - hollow bottom . every rembrandt charm comes with a heavy-duty jump ring that can be twisted open and easily attached by you . all rembrandt charms are guaranteed for life .,rembrandt charms,28.5,0.3028567088548739
please note that product images are enlarged to show detail . the actual item is 0.488 - ( approx . 1/2 in . ) inches long and 0.427 - ( approx . 3/8 in . ) inches wide . the 16 : sweet charm by rembrandt charms is hand-polished with a high polish finish . the charm shape is 3d . every rembrandt charm comes with a heavy-duty jump ring that can be twisted open and easily attached by you . all rembrandt charms are guaranteed for life .,rembrandt charms,22.5,0.2028494117983377
please note that product images are enlarged to show detail . the actual item is 0.583 - ( approx . 5/8 in . ) inches long and 0.855 - ( approx . 7/8 in . ) inches wide . the french horn charm by rembrandt charms is hand-polished with a high polish finish . the charm shape is 3d - solid . every rembrandt charm comes with a heavy-duty jump ring that can be twisted open and easily attached by you . all rembrandt charms are guaranteed for life .,rembrandt charms,40.0,0.2517100547103759
please note that product images are enlarged to show detail . the actual item is 0.674 - ( approx . 5/8 in . ) inches long and 0.875 - ( approx . 7/8 in . ) inches wide . the hummingbird charm by rembrandt charms is hand-polished with a high polish finish . the charm shape is 3d - solid . every rembrandt charm comes with a heavy-duty jump ring that can be twisted open and easily attached by you . all rembrandt charms are guaranteed for life .,rembrandt charms,27.5,0.22225037923619428
please note that product images are enlarged to show detail . the actual item is 0.327 - ( approx . 3/8 in . ) inches long and 0.576 - ( approx . 5/8 in . ) inches wide . the sneaker charm by rembrandt charms is hand-polished with a high polish finish . the charm shape is 3d . every rembrandt charm comes with a heavy-duty jump ring that can be twisted open and easily attached by you . all rembrandt charms are guaranteed for life .,rembrandt charms,26.0,0.18267805782912427
please note that product images are enlarged to show detail . the actual item is 0.593 - ( approx . 5/8 in . ) inches long and 0.384 - ( approx . 3/8 in . ) inches wide . the tarot card charm by rembrandt charms is hand-polished with a high polish finish . the charm shape is flat . every rembrandt charm comes with a heavy-duty jump ring that can be twisted open and easily attached by you . all rembrandt charms are guaranteed for life .,rembrandt charms,24.5,0.2771381248176774
please note that product images are enlarged to show detail . the actual item is 0.746 - ( approx . 3/4 in . ) inches long and 0.746 - ( approx . 3/4 in . ) inches wide . the aztec sun charm by rembrandt charms is hand-polished with a high polish finish . the charm shape is 2d - flat back . every rembrandt charm comes with a heavy-duty jump ring that can be twisted open and easily attached by you . all rembrandt charms are guaranteed for life .,rembrandt charms,37.5,0.06169707859297713
